sheet,panel,panels,fold,chapter,section,module,content_type,cs_code,title,scan_pages,ocr_path,publish_source
120,1,1,A4,5,parts-mechanical,,table,CS 7 868,List of mechanical parts - fixing materials / optical deck,120,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-28/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_120.webp
121,1,1,A4,5,parts-mechanical,,table,CS 7 869,List of mechanical parts - disc drive / sandwich / cabinet,121,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-29/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_121.webp
122,1,1,A4,5,parts-electrical,,table,CS 7 870,List of electrical parts - remote control / integrated circuits,122,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-30/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_122.webp
123,1,1,A4,5,parts-electrical,,table,CS 7 871,List of electrical parts - transistors / diodes,123,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-31/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_123.webp
124,1,1,A4,5,parts-electrical,,table,CS 7 872,List of electrical parts - standard resistors,124,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-32/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_124.webp
125,1,1,A4,7,circuit-description,,text,CS 7 874,Circuit description - title page and contents,125,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-33/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_125.webp
126,1,1,A4,7,laservision-system,,text,CS 7 875,The LaserVision system - introduction / encoding,126,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-34/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_126.webp
127,1,1,A4,7,laservision-system,,text,CS 7 876,Lead-in / lead-out tracks / programme area,127,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-35/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_127.webp
128,1,1,A4,7,laservision-system,,text,CS 7 877,Radial tracking / time base correction / genlock,128,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-36/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_128.webp
129,1,1,A4,7,optical-deck,,figure,CS 7 878,Fig. OD1 - optical deck,129,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-37/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_129.webp
130,1,1,A4,7,optical-deck,,text,CS 7 879,The optical deck,130,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-38/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_130.webp
